"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"98 years"	"98"	2	Not Applicable	Not Applicable
	"2002"	"2002"	"99 years"	"99"	4	Not Applicable	Not Applicable
	"2002"	"2002"	"100+ years"	"100"	1	Not Applicable	Not Applicable
	"2002"	"2002"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"0"	0	2252355	Unreliable
	"2003"	"2003"	"1 year"	"1"	0	2238711	Unreliable
	"2003"	"2003"	"2 years"	"2"	0	2297798	Unreliable
	"2003"	"2003"	"3 years"	"3"	0	2258103	Unreliable
	"2003"	"2003"	"4 years"	"4"	0	2266147	Unreliable
	"2003"	"2003"	"5 years"	"5"	0	2273066	Unreliable
	"2003"	"2003"	"6 years"	"6"	0	2291215	Unreliable
	"2003"	"2003"	"7 years"	"7"	0	2354390	Unreliable
	"2003"	"2003"	"8 years"	"8"	0	2397827	Unreliable
	"2003"	"2003"	"9 years"	"9"	5	2426098	Unreliable
	"2003"	"2003"	"10 years"	"10"	4	2524327	Unreliable
	"2003"	"2003"	"11 years"	"11"	4	2577047	Unreliable
	"2003"	"2003"	"12 years"	"12"	23	2652829	0.9
